location,salary_bin,job_count
"Brooklyn, OH, US",Ultra High,0
"Brown Deer, WI, US",Low,0
"Brown Deer, WI, US",Medium,1
"Brown Deer, WI, US",High,0
"Brown Deer, WI, US",Very High,0
"Brown Deer, WI, US",Ultra High,0
"Buena Park, CA, USA",Low,0
"Buena Park, CA, USA",Medium,1
"Buena Park, CA, USA",High,0
"Buena Park, CA, USA",Very High,0
"Buena Park, CA, USA",Ultra High,0
"Buffalo, NY",Low,0
"Buffalo, NY",Medium,1
"Buffalo, NY",High,1
"Buffalo, NY",Very High,0
"Buffalo, NY",Ultra High,0
"Buffalo, NY, US",Low,0
"Buffalo, NY, US",Medium,1
"Buffalo, NY, US",High,1
"Buffalo, NY, US",Very High,0
"Buffalo, NY, US",Ultra High,0
"Buhler, KS, USA",Low,0
"Buhler, KS, USA",Medium,1
"Buhler, KS, USA",High,0
"Buhler, KS, USA",Very High,0
"Buhler, KS, USA",Ultra High,0
"Burbank, CA",Low,0
"Burbank, CA",Medium,1
"Burbank, CA",High,0
"Burbank, CA",Very High,0
"Burbank, CA",Ultra High,0
"Burbank, CA, US",Low,0
"Burbank, CA, US",Medium,1
"Burbank, CA, US",High,0
"Burbank, CA, US",Very High,0
"Burbank, CA, US",Ultra High,0
"Burbank, CA, USA",Low,1
"Burbank, CA, USA",Medium,2
"Burbank, CA, USA",High,1
"Burbank, CA, USA",Very High,0
"Burbank, CA, USA",Ultra High,0
"Burley, ID, USA",Low,0
"Burley, ID, USA",Medium,1
"Burley, ID, USA",High,0
"Burley, ID, USA",Very High,0
"Burley, ID, USA",Ultra High,0
"Burlington, MA",Low,0
"Burlington, MA",Medium,0
"Burlington, MA",High,1
"Burlington, MA",Very High,0
"Burlington, MA",Ultra High,0
"Burlington, NJ, USA",Low,0
"Burlington, NJ, USA",Medium,1
"Burlington, NJ, USA",High,0
"Burlington, NJ, USA",Very High,0
"Burlington, NJ, USA",Ultra High,0
"Burnsville, NC",Low,0
"Burnsville, NC",Medium,1
"Burnsville, NC",High,0
"Burnsville, NC",Very High,0
"Burnsville, NC",Ultra High,0
"Butler, PA",Low,0
"Butler, PA",Medium,1
"Butler, PA",High,0
"Butler, PA",Very High,0
"Butler, PA",Ultra High,0
"Butte, MT",Low,0
"Butte, MT",Medium,0
"Butte, MT",High,1
"Butte, MT",Very High,0
"Butte, MT",Ultra High,0
"Butte, MT, US",Low,0
"Butte, MT, US",Medium,0
"Butte, MT, US",High,1
"Butte, MT, US",Very High,0
"Butte, MT, US",Ultra High,0
"Butte, MT, USA",Low,0
"Butte, MT, USA",Medium,0
"Butte, MT, USA",High,1
"Butte, MT, USA",Very High,0
"Butte, MT, USA",Ultra High,0
"CA, US",Low,1
"CA, US",Medium,2
"CA, US",High,2
"CA, US",Very High,0
"CA, US",Ultra High,0
"Calhoun, GA",Low,0
"Calhoun, GA",Medium,1
"Calhoun, GA",High,0
"Calhoun, GA",Very High,0
"Calhoun, GA",Ultra High,0
"Calhoun, GA, US",Low,0
"Calhoun, GA, US",Medium,1
"Calhoun, GA, US",High,0
"Calhoun, GA, US",Very High,0
"Calhoun, GA, US",Ultra High,0
"Camarillo, CA, USA",Low,0
"Camarillo, CA, USA",Medium,1
"Camarillo, CA, USA",High,0
"Camarillo, CA, USA",Very High,0
"Camarillo, CA, USA",Ultra High,0
"Camas, WA, USA",Low,0
"Camas, WA, USA",Medium,0
"Camas, WA, USA",High,1
"Camas, WA, USA",Very High,0
"Camas, WA, USA",Ultra High,0
"Cambridge, MA",Low,1
"Cambridge, MA",Medium,0
"Cambridge, MA",High,0
"Cambridge, MA",Very High,0
"Cambridge, MA",Ultra High,0
"Cambridge, MA, US",Low,1
"Cambridge, MA, US",Medium,0
"Cambridge, MA, US",High,0
"Cambridge, MA, US",Very High,0
"Cambridge, MA, US",Ultra High,0
"Cambridge, MA, USA",Low,0
"Cambridge, MA, USA",Medium,1
"Cambridge, MA, USA",High,0
"Cambridge, MA, USA",Very High,0
"Cambridge, MA, USA",Ultra High,0
"Camden, NJ",Low,0
"Camden, NJ",Medium,0
"Camden, NJ",High,1
"Camden, NJ",Very High,0
"Camden, NJ",Ultra High,0
"Canonsburg, PA",Low,0
"Canonsburg, PA",Medium,1
"Canonsburg, PA",High,0
"Canonsburg, PA",Very High,0
"Canonsburg, PA",Ultra High,0
"Canonsburg, PA, US",Low,0
"Canonsburg, PA, US",Medium,0
"Canonsburg, PA, US",High,1
"Canonsburg, PA, US",Very High,0
"Canonsburg, PA, US",Ultra High,0
"Canton, MA, US",Low,0
"Canton, MA, US",Medium,1
"Canton, MA, US",High,0
"Canton, MA, US",Very High,0
"Canton, MA, US",Ultra High,0
"Canton, OH, US",Low,0
"Canton, OH, US",Medium,2
"Canton, OH, US",High,0
"Canton, OH, US",Very High,0
"Canton, OH, US",Ultra High,0
"Canton, OH, USA",Low,0
"Canton, OH, USA",Medium,1
"Canton, OH, USA",High,0
"Canton, OH, USA",Very High,0
"Canton, OH, USA",Ultra High,0
"Cape Canaveral, FL",Low,0
"Cape Canaveral, FL",Medium,1
"Cape Canaveral, FL",High,0
"Cape Canaveral, FL",Very High,0
"Cape Canaveral, FL",Ultra High,0
"Cape Canaveral, FL, US",Low,0
"Cape Canaveral, FL, US",Medium,1
